,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270
0,35.0,44.0,12.0,30.0,1.0,16.0,0.0,27.0,21.0,19.0,7.0,16.0,15.0,17.0,17.0,52.0,36.0,36.0,0.0,-2.0,-28.0,-5.0,-45.0,-3.0,-6.0,0.0,-6.0,-4.0,-10.0,-12.0,-1.0,0.0,0.0,0.0,-16.0,0.0,-5.0,0.0,0.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27.0,37.0,32.0,58.0,40.0,55.0,29.0,43.0,25.0,47.0,36.0,35.0,23.0,20.0,1.0,37.0,23.0,22.0,0.0,23.0,17.0,7.0,8.0,28.0,16.0,22.0,9.0,33.0,11.0,47.0,12.0,19.0,17.0,37.0,11.0,19.0,6.0,6.0,6.0,11.0,5.0,0.0,4.0,1.0,0.0,13.0,0.0,18.0,0.0,5.0,6.0,5.0,9.0,0.0,7.0,4.0,0.0,6.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24.0,49.0,20.0,36.0,29.0,39.0,37.0,45.0,24.0,42.0,29.0,37.0,47.0,49.0,34.0,39.0,34.0,42.0,38.0,40.0,18.0,46.0,33.0,32.0,15.0,37.0,19.0,24.0,12.0,5.0,4.0,15.0,16.0,18.0,17.0,10.0,6.0,26.0,-22.0,12.0,0.0,0.0,-45.0,-22.0,-55.0,-51.0,-39.0,-64.0,-84.0,-100.0,-60.0,-64.0,-68.0,-51.0,-53.0,-74.0,-59.0,-74.0,-73.0,-23.0,-72.0,-45.0,-43.0,-43.0,-29.0,-23.0,-21.0,-42.0,-28.0,-17.0,-21.0,0.0,-4.0,0.0,-10.0,0.0,0.0,-8.0,0.0,-12.0,-9.0,0.0,0.0,0.0,0.0,-15.0,-12.0,-8.0,-9.0,0.0,-56.0,-54.0,-54.0,-54.0,-54.0,-55.0,-53.0,-53.0,-53.0,-52.0,-52.0,-55.0,-54.0,-53.0,-53.0,-53.0,-51.0,-51.0,-52.0,-52.0,-52.0,-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19.0,37.0,42.0,39.0,22.0,29.0,11.0,33.0,-10.0,17.0,16.0,14.0,17.0,7.0,0.0,0.0,-4.0,27.0,-16.0,9.0,5.0,61.0,28.0,68.0,59.0,79.0,68.0,87.0,85.0,97.0,83.0,100.0,74.0,92.0,93.0,108.0,98.0,124.0,101.0,114.0,107.0,105.0,111.0,98.0,86.0,84.0,96.0,133.0,69.0,66.0,54.0,78.0,75.0,119.0,117.0,123.0,25.0,56.0,75.0,56.0,26.0,29.0,-34.0,-18.0,-30.0,4.0,0.0,0.0,0.0,0.0,-15.0,-7.0,0.0,0.0,-19.0,0.0,-15.0,-11.0,-49.0,-30.0,-46.0,-38.0,-49.0,-45.0,-37.0,-15.0,-25.0,-26.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17.0,38.0,42.0,54.0,35.0,49.0,22.0,47.0,-1.0,4.0,0.0,16.0,13.0,50.0,33.0,26.0,27.0,47.0,44.0,62.0,34.0,60.0,62.0,59.0,39.0,40.0,27.0,47.0,33.0,60.0,52.0,57.0,11.0,17.0,-38.0,-36.0,-50.0,-20.0,-41.0,-28.0,-35.0,-21.0,-17.0,-20.0,-34.0,-16.0,-38.0,-19.0,-20.0,-26.0,-27.0,0.0,-29.0,-31.0,-18.0,-15.0,-52.0,-33.0,-38.0,-34.0,-36.0,-23.0,-20.0,-18.0,-25.0,-8.0,-12.0,-13.0,-6.0,-5.0,-11.0,-10.0,-6.0,-9.0,-5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,8.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18.0,32.0,45.0,36.0,45.0,46.0,18.0,46.0,4.0,14.0,9.0,37.0,27.0,26.0,10.0,6.0,6.0,17.0,15.0,32.0,17.0,32.0,12.0,38.0,14.0,13.0,22.0,19.0,10.0,15.0,16.0,20.0,11.0,12.0,11.0,4.0,8.0,10.0,4.0,0.0,13.0,14.0,-8.0,-2.0,-11.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.0,32.0,29.0,30.0,29.0,34.0,25.0,48.0,18.0,46.0,44.0,60.0,46.0,61.0,36.0,55.0,32.0,94.0,60.0,49.0,41.0,118.0,100.0,107.0,62.0,135.0,48.0,79.0,73.0,60.0,62.0,73.0,63.0,94.0,67.0,99.0,43.0,55.0,9.0,40.0,24.0,30.0,33.0,40.0,40.0,27.0,35.0,77.0,81.0,124.0,139.0,169.0,182.0,173.0,19.0,26.0,32.0,25.0,38.0,33.0,55.0,29.0,27.0,27.0,30.0,35.0,34.0,40.0,43.0,56.0,38.0,66.0,60.0,64.0,55.0,70.0,36.0,67.0,35.0,90.0,68.0,75.0,84.0,80.0,69.0,71.0,55.0,53.0,59.0,60.0,54.0,62.0,52.0,74.0,69.0,133.0,0.0,21.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39.0,48.0,37.0,49.0,38.0,50.0,41.0,62.0,23.0,69.0,42.0,37.0,27.0,30.0,12.0,35.0,13.0,22.0,12.0,22.0,4.0,11.0,9.0,6.0,-7.0,0.0,0.0,0.0,12.0,19.0,-16.0,16.0,23.0,12.0,18.0,22.0,-25.0,60.0,-32.0,-1.0,17.0,0.0,-28.0,30.0,29.0,18.0,0.0,56.0,55.0,36.0,31.0,65.0,17.0,47.0,46.0,71.0,55.0,253.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,32.0,45.0,44.0,48.0,44.0,40.0,5.0,44.0,11.0,26.0,26.0,49.0,37.0,41.0,38.0,45.0,29.0,58.0,25.0,32.0,15.0,32.0,26.0,70.0,14.0,32.0,-29.0,-26.0,-32.0,-21.0,-27.0,-26.0,-58.0,-18.0,-47.0,-45.0,-50.0,-63.0,-91.0,-96.0,-99.0,-69.0,-94.0,-89.0,-78.0,-73.0,-82.0,-93.0,-129.0,-107.0,-110.0,-114.0,-137.0,-142.0,-174.0,-127.0,-167.0,-196.0,-185.0,-160.0,-224.0,-178.0,-296.0,-349.0,-396.0,-365.0,-437.0,-405.0,-433.0,-436.0,-468.0,-448.0,-450.0,-498.0,-450.0,-346.0,-438.0,-301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28.0,41.0,27.0,42.0,24.0,24.0,34.0,35.0,14.0,17.0,13.0,23.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,32.0,20.0,46.0,23.0,22.0,12.0,97.0,80.0,79.0,76.0,214.0,218.0,237.0,228.0,233.0,231.0,230.0,202.0,308.0,281.0,311.0,296.0,511.0,469.0,514.0,448.0,469.0,448.0,504.0,439.0,512.0,469.0,675.0,316.0,337.0,345.0,412.0,380.0,410.0,393.0,432.0,430.0,395.0,446.0,421.0,443.0,420.0,446.0,449.0,458.0,442.0,456.0,460.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,35.0,53.0,40.0,48.0,15.0,40.0,26.0,44.0,28.0,28.0,20.0,23.0,33.0,48.0,34.0,44.0,26.0,34.0,16.0,64.0,28.0,35.0,3.0,32.0,9.0,21.0,26.0,17.0,14.0,-1.0,-74.0,-44.0,-65.0,33.0,12.0,21.0,26.0,28.0,7.0,37.0,-23.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,39.0,58.0,37.0,54.0,62.0,52.0,50.0,50.0,26.0,30.0,37.0,41.0,42.0,24.0,-23.0,-16.0,-29.0,-10.0,-22.0,-15.0,-20.0,-19.0,-18.0,-12.0,-19.0,-19.0,-15.0,-12.0,-9.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29.0,53.0,41.0,53.0,37.0,44.0,29.0,37.0,27.0,45.0,31.0,45.0,19.0,33.0,7.0,12.0,9.0,49.0,36.0,59.0,33.0,25.0,9.0,20.0,26.0,72.0,26.0,24.0,27.0,21.0,19.0,19.0,28.0,42.0,20.0,71.0,49.0,59.0,58.0,52.0,51.0,46.0,45.0,52.0,57.0,54.0,65.0,52.0,59.0,62.0,53.0,45.0,33.0,53.0,52.0,21.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,42.0,49.0,47.0,41.0,13.0,26.0,6.0,14.0,13.0,13.0,6.0,15.0,20.0,25.0,17.0,15.0,25.0,22.0,20.0,15.0,8.0,8.0,0.0,17.0,0.0,14.0,1.0,5.0,2.0,0.0,0.0,9.0,7.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-1.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22.0,37.0,32.0,54.0,22.0,50.0,36.0,42.0,35.0,50.0,47.0,51.0,52.0,65.0,45.0,106.0,100.0,130.0,86.0,127.0,44.0,59.0,31.0,111.0,79.0,263.0,248.0,375.0,335.0,380.0,393.0,412.0,417.0,443.0,438.0,431.0,476.0,492.0,448.0,377.0,430.0,493.0,488.0,510.0,459.0,496.0,489.0,526.0,516.0,518.0,523.0,570.0,539.0,625.0,607.0,574.0,557.0,607.0,606.0,675.0,684.0,700.0,631.0,635.0,623.0,666.0,666.0,734.0,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,27.0,51.0,28.0,30.0,15.0,23.0,32.0,21.0,7.0,22.0,12.0,10.0,15.0,18.0,18.0,37.0,5.0,16.0,26.0,44.0,25.0,27.0,13.0,19.0,26.0,50.0,-29.0,-19.0,-19.0,10.0,0.0,17.0,8.0,18.0,16.0,19.0,2.0,22.0,13.0,23.0,28.0,42.0,25.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31.0,45.0,41.0,43.0,20.0,35.0,21.0,25.0,33.0,37.0,34.0,33.0,20.0,31.0,16.0,21.0,11.0,29.0,28.0,34.0,12.0,23.0,6.0,33.0,25.0,20.0,12.0,22.0,-39.0,56.0,43.0,39.0,24.0,29.0,35.0,47.0,19.0,42.0,22.0,37.0,32.0,58.0,50.0,70.0,48.0,41.0,48.0,66.0,60.0,50.0,30.0,42.0,18.0,33.0,37.0,52.0,28.0,52.0,49.0,48.0,42.0,60.0,75.0,119.0,93.0,96.0,82.0,92.0,36.0,55.0,-43.0,-27.0,-6.0,49.0,-37.0,-2.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,10.0,10.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,18.0,49.0,37.0,57.0,36.0,40.0,41.0,47.0,41.0,46.0,50.0,49.0,40.0,53.0,50.0,50.0,40.0,63.0,34.0,75.0,39.0,48.0,28.0,56.0,36.0,56.0,33.0,36.0,42.0,74.0,26.0,64.0,39.0,134.0,116.0,116.0,118.0,138.0,111.0,143.0,153.0,207.0,105.0,190.0,-117.0,-116.0,-91.0,-82.0,-180.0,-239.0,-301.0,-304.0,-312.0,-305.0,-379.0,-420.0,-370.0,-408.0,-407.0,-110.0,-153.0,-164.0,-145.0,-168.0,-134.0,-111.0,-160.0,-168.0,-285.0,-324.0,-582.0,-592.0,-623.0,-623.0,-594.0,-637.0,-635.0,-643.0,-648.0,-637.0,-646.0,-644.0,-647.0,-643.0,-651.0,-652.0,-654.0,-650.0,-727.0,-805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,24.0,41.0,41.0,35.0,18.0,24.0,13.0,17.0,0.0,21.0,4.0,21.0,-10.0,36.0,23.0,17.0,14.0,33.0,35.0,38.0,30.0,29.0,27.0,33.0,32.0,33.0,29.0,43.0,37.0,27.0,21.0,21.0,18.0,30.0,23.0,30.0,34.0,29.0,29.0,43.0,20.0,27.0,26.0,61.0,30.0,43.0,31.0,37.0,37.0,53.0,51.0,61.0,53.0,57.0,62.0,64.0,74.0,68.0,60.0,149.0,132.0,157.0,171.0,163.0,143.0,194.0,138.0,131.0,125.0,150.0,165.0,151.0,143.0,161.0,160.0,210.0,203.0,437.0,494.0,446.0,489.0,480.0,467.0,471.0,468.0,487.0,503.0,484.0,464.0,471.0,443.0,429.0,417.0,443.0,426.0,472.0,424.0,548.0,565.0,586.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,32.0,46.0,28.0,35.0,34.0,39.0,27.0,49.0,50.0,50.0,41.0,42.0,38.0,40.0,39.0,61.0,52.0,62.0,35.0,46.0,34.0,55.0,63.0,76.0,64.0,88.0,59.0,98.0,41.0,117.0,82.0,111.0,12.0,18.0,10.0,25.0,-8.0,-16.0,4.0,0.0,0.0,200.0,141.0,103.0,72.0,76.0,68.0,121.0,44.0,258.0,140.0,204.0,110.0,191.0,141.0,170.0,236.0,147.0,62.0,296.0,215.0,590.0,592.0,624.0,605.0,630.0,639.0,687.0,689.0,698.0,691.0,1082.0,597.0,714.0,716.0,717.0,705.0,776.0,685.0,695.0,688.0,710.0,730.0,732.0,721.0,745.0,758.0,771.0,758.0,790.0,724.0,725.0,707.0,797.0,750.0,828.0,728.0,792.0,749.0,788.0,890.0,892.0,890.0,903.0,953.0,953.0,996.0,1276.0,1339.0,1318.0,1316.0,1631.0,1690.0,1884.0,1376.0,1455.0,1305.0,5618.0,5618.0,5618.0,5618.0,5618.0,5618.0,5686.0,5686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30.0,30.0,37.0,44.0,16.0,38.0,34.0,48.0,-5.0,32.0,19.0,42.0,20.0,45.0,40.0,51.0,44.0,54.0,52.0,61.0,38.0,53.0,60.0,55.0,41.0,62.0,42.0,57.0,38.0,61.0,50.0,54.0,43.0,71.0,44.0,210.0,201.0,251.0,244.0,271.0,280.0,469.0,386.0,470.0,293.0,434.0,479.0,546.0,517.0,691.0,737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
