,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,32.0,4.0,7.0,0.0,36.0,0.0,48.0,28.0,6.0,105.0,4.0,9.0,5.0,37.0,64.0,0.0,14.0,139.0,66.0,56.0,57.0,14.0,16.0,0.0,0.0,0.0,35.0,11.0,1.0,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,6.0,9.0,24.0,27.0,15.0,61.0,3.0,18.0,106.0,28.0,15.0,26.0,0.0,0.0,0.0,36.0,0.0,0.0,7.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42.0,12.0,0.0,8.0,9.0,15.0,7.0,54.0,0.0,25.0,50.0,60.0,0.0,26.0,9.0,0.0,0.0,17.0,25.0,27.0,57.0,28.0,26.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.0,18.0,20.0,28.0,8.0,59.0,76.0,2.0,93.0,0.0,68.0,10.0,102.0,0.0,148.0,2.0,0.0,117.0,24.0,2.0,0.0,12.0,0.0,12.0,42.0,10.0,18.0,149.0,4.0,117.0,105.0,4.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13.0,35.0,26.0,19.0,25.0,14.0,4.0,4.0,6.0,11.0,74.0,0.0,11.0,35.0,26.0,26.0,91.0,13.0,22.0,9.0,34.0,27.0,27.0,0.0,85.0,0.0,0.0,47.0,0.0,0.0,0.0,14.0,0.0,42.0,14.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25.0,32.0,1.0,18.0,14.0,11.0,31.0,9.0,4.0,59.0,17.0,5.0,1.0,17.0,5.0,0.0,4.0,20.0,3.0,6.0,10.0,6.0,0.0,22.0,24.0,34.0,22.0,70.0,0.0,9.0,0.0,69.0,153.0,12.0,1.0,9.0,0.0,8.0,0.0,24.0,51.0,15.0,37.0,46.0,64.0,0.0,21.0,0.0,24.0,118.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.0,0.0,3.0,9.0,9.0,0.0,12.0,0.0,3.0,0.0,120.0,8.0,78.0,16.0,20.0,0.0,139.0,38.0,31.0,35.0,6.0,42.0,56.0,129.0,65.0,88.0,69.0,137.0,0.0,27.0,7.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.0,22.0,5.0,0.0,19.0,46.0,0.0,3.0,18.0,93.0,12.0,10.0,118.0,27.0,50.0,8.0,0.0,26.0,6.0,252.0,86.0,0.0,128.0,0.0,1.0,23.0,220.0,164.0,236.0,24.0,27.0,81.0,13.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14.0,11.0,0.0,19.0,0.0,0.0,1.0,19.0,14.0,34.0,39.0,63.0,12.0,0.0,48.0,79.0,105.0,20.0,0.0,0.0,152.0,197.0,12.0,111.0,34.0,22.0,4.0,98.0,205.0,21.0,0.0,47.0,1400.0,731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,12.0,5.0,27.0,0.0,12.0,41.0,0.0,40.0,48.0,0.0,7.0,9.0,0.0,108.0,7.0,0.0,0.0,0.0,33.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,39.0,19.0,14.0,1.0,35.0,30.0,33.0,17.0,0.0,20.0,8.0,9.0,6.0,1.0,1.0,10.0,80.0,11.0,32.0,146.0,0.0,8.0,22.0,0.0,15.0,27.0,1146.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,42.0,138.0,98.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,20.0,42.0,23.0,20.0,18.0,24.0,46.0,0.0,28.0,81.0,36.0,7.0,60.0,6.0,40.0,31.0,26.0,5.0,25.0,0.0,87.0,37.0,76.0,17.0,35.0,0.0,71.0,45.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11.0,18.0,8.0,24.0,14.0,34.0,0.0,9.0,19.0,7.0,44.0,0.0,0.0,32.0,22.0,0.0,0.0,7.0,289.0,207.0,37.0,13.0,93.0,0.0,28.0,11.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.0,17.0,11.0,13.0,22.0,5.0,10.0,7.0,18.0,19.0,10.0,6.0,16.0,4.0,0.0,0.0,39.0,27.0,73.0,0.0,24.0,20.0,5.0,25.0,22.0,26.0,21.0,16.0,19.0,13.0,40.0,31.0,0.0,57.0,22.0,47.0,13.0,15.0,71.0,9.0,0.0,114.0,10.0,8.0,12.0,4.0,35.0,1.0,21.0,0.0,0.0,21.0,0.0,34.0,0.0,0.0,0.0,0.0,49.0,81.0,0.0,171.0,172.0,6.0,0.0,250.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,21.0,10.0,97.0,6.0,29.0,0.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
14,26.0,9.0,5.0,19.0,10.0,16.0,13.0,15.0,14.0,94.0,90.0,2.0,12.0,88.0,15.0,0.0,0.0,0.0,13.0,33.0,48.0,63.0,131.0,0.0,10.0,10.0,21.0,11.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17.0,30.0,10.0,1.0,14.0,25.0,0.0,19.0,13.0,28.0,0.0,13.0,20.0,87.0,0.0,11.0,6.0,0.0,10.0,4.0,8.0,9.0,3.0,0.0,7.0,16.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,17.0,14.0,23.0,0.0,66.0,19.0,19.0,91.0,25.0,14.0,6.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,20.0,13.0,9.0,9.0,0.0,28.0,18.0,5.0,12.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,20.0,1.0,0.0,0.0,76.0,75.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7.0,8.0,10.0,23.0,13.0,0.0,12.0,10.0,10.0,30.0,19.0,12.0,16.0,0.0,6.0,46.0,18.0,10.0,12.0,42.0,38.0,44.0,0.0,50.0,4.0,25.0,11.0,8.0,24.0,101.0,0.0,0.0,14.0,71.0,1.0,77.0,0.0,16.0,16.0,0.0,0.0,11.0,9.0,125.0,62.0,38.0,0.0,0.0,0.0,4.0,0.0,13.0,6.0,19.0,13.0,7.0,6.0,7.0,2.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22.0,27.0,27.0,16.0,2.0,23.0,23.0,0.0,68.0,86.0,2.0,11.0,4.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,104.0,239.0,0.0,62.0,53.0,41.0,134.0,203.0,67.0,0.0,62.0,5.0,544.0,38.0,0.0,17.0,232.0,101.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,40.0,49.0,50.0,24.0,5.0,20.0,18.0,1.0,6.0,12.0,35.0,7.0,3.0,5.0,40.0,15.0,56.0,12.0,64.0,40.0,0.0,29.0,41.0,12.0,8.0,45.0,45.0,25.0,2.0,0.0,64.0,12.0,0.0,0.0,194.0,202.0,0.0,109.0,47.0,0.0,16.0,16.0,0.0,5.0,116.0,0.0,0.0,211.0,0.0,204.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25.0,32.0,1.0,16.0,11.0,9.0,1.0,3.0,2.0,14.0,42.0,14.0,8.0,0.0,0.0,0.0,20.0,17.0,0.0,32.0,4.0,0.0,47.0,0.0,106.0,65.0,9.0,86.0,11.0,16.0,0.0,25.0,55.0,0.0,11.0,0.0,0.0,0.0,0.0,28.0,54.0,0.0,27.0,0.0,14.0,20.0,58.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15.0,3.0,0.0,6.0,34.0,5.0,10.0,2.0,9.0,11.0,51.0,0.0,7.0,18.0,11.0,49.0,18.0,1.0,43.0,42.0,0.0,242.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,244.0,39.0,46.0,0.0,0.0,0.0,19.0,0.0,143.0,0.0,129.0,23.0,0.0,2.0,57.0,169.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17.0,8.0,22.0,4.0,1.0,23.0,56.0,10.0,14.0,6.0,5.0,9.0,14.0,5.0,11.0,29.0,0.0,39.0,0.0,19.0,28.0,0.0,17.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,11.0,3.0,8.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15.0,11.0,16.0,50.0,17.0,0.0,20.0,28.0,39.0,32.0,41.0,0.0,54.0,64.0,0.0,64.0,85.0,25.0,38.0,16.0,45.0,34.0,0.0,5.0,0.0,11.0,6.0,63.0,13.0,83.0,123.0,10.0,10.0,4.0,55.0,20.0,0.0,37.0,35.0,0.0,121.0,91.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,18.0,16.0,27.0,0.0,21.0,59.0,17.0,50.0,37.0,27.0,5.0,14.0,0.0,50.0,32.0,0.0,62.0,33.0,8.0,55.0,5.0,0.0,0.0,0.0,0.0,136.0,151.0,12.0,18.0,0.0,0.0,25.0,47.0,7.0,27.0,1.0,138.0,11.0,0.0,64.0,0.0,22.0,0.0,75.0,85.0,17.0,278.0,0.0,59.0,0.0,53.0,0.0,6.0,0.0,0.0,0.0,35.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.0,24.0,21.0,0.0,3.0,6.0,43.0,6.0,54.0,0.0,0.0,9.0,23.0,4.0,4.0,6.0,102.0,8.0,154.0,57.0,25.0,38.0,0.0,0.0,0.0,17.0,78.0,0.0,0.0,0.0,38.0,13.0,19.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,5.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0,5.0,0.0,12.0,4.0,2.0,6.0,0.0,8.0,4.0,6.0,0.0,9.0,1.0,9.0,5.0,6.0,0.0,6.0,16.0,4.0,8.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14.0,48.0,6.0,23.0,24.0,2.0,1.0,26.0,1.0,17.0,39.0,9.0,0.0,47.0,22.0,0.0,8.0,79.0,33.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,354.0,0.0,0.0,24.0,0.0,8.0,0.0,41.0,65.0,0.0,0.0,52.0,35.0,29.0,0.0,18.0,12.0,85.0,0.0,0.0,314.0,89.0,0.0,54.0,188.0,0.0,175.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,0.0,12.0,9.0,0.0,13.0,16.0,19.0,22.0,23.0,13.0,1.0,11.0,12.0,18.0,11.0,19.0,29.0,29.0,8.0,19.0,42.0,0.0,7.0,0.0,0.0,0.0,36.0,5.0,0.0,0.0,0.0,6.0,3.0,112.0,64.0,0.0,96.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25.0,0.0,17.0,0.0,0.0,21.0,70.0,0.0,14.0,45.0,55.0,67.0,12.0,19.0,326.0,37.0,45.0,112.0,0.0,0.0,0.0,0.0,12.0,0.0,62.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,24.0,25.0,0.0,4.0,14.0,7.0,25.0,21.0,40.0,22.0,28.0,12.0,17.0,120.0,25.0,9.0,0.0,24.0,0.0,48.0,10.0,0.0,0.0,1.0,0.0,4.0,0.0,97.0,64.0,251.0,114.0,53.0,212.0,0.0,258.0,0.0,0.0,20.0,44.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31.0,46.0,16.0,4.0,9.0,0.0,45.0,13.0,10.0,16.0,52.0,21.0,43.0,0.0,4.0,0.0,42.0,9.0,44.0,116.0,9.0,18.0,18.0,43.0,0.0,17.0,3.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7.0,0.0,2.0,33.0,12.0,34.0,0.0,49.0,11.0,11.0,12.0,12.0,21.0,0.0,24.0,16.0,5.0,28.0,79.0,14.0,13.0,54.0,1.0,60.0,31.0,0.0,21.0,0.0,3.0,33.0,42.0,24.0,81.0,0.0,8.0,11.0,12.0,201.0,3.0,22.0,0.0,0.0,29.0,0.0,3.0,5.0,2.0,40.0,7.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13.0,24.0,15.0,18.0,57.0,36.0,16.0,0.0,8.0,5.0,39.0,7.0,12.0,54.0,52.0,0.0,0.0,27.0,43.0,17.0,5.0,11.0,66.0,29.0,22.0,39.0,0.0,17.0,0.0,221.0,117.0,19.0,0.0,80.0,30.0,14.0,11.0,14.0,103.0,99.0,43.0,28.0,81.0,41.0,43.0,4.0,1.0,0.0,51.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,26.0,28.0,19.0,11.0,8.0,8.0,3.0,2.0,4.0,14.0,0.0,0.0,2.0,7.0,3.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,13.0,0.0,36.0,39.0,10.0,0.0,0.0,0.0,0.0,27.0,25.0,53.0,34.0,41.0,14.0,2.0,8.0,1.0,12.0,0.0,127.0,0.0,43.0,0.0,0.0,7.0,12.0,2.0,0.0,0.0,5.0,0.0,0.0,99.0,49.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12.0,14.0,54.0,14.0,54.0,12.0,43.0,15.0,28.0,72.0,43.0,75.0,18.0,45.0,72.0,11.0,0.0,0.0,33.0,20.0,0.0,27.0,149.0,0.0,0.0,0.0,137.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,31.0,39.0,0.0,14.0,29.0,0.0,1.0,21.0,72.0,21.0,0.0,62.0,16.0,80.0,28.0,3.0,50.0,24.0,14.0,2.0,0.0,112.0,32.0,9.0,11.0,0.0,5.0,39.0,17.0,16.0,38.0,1.0,27.0,258.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,49.0,38.0,46.0,14.0,31.0,17.0,19.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,61.0,16.0,0.0,4.0,0.0,38.0,0.0,22.0,0.0,0.0,62.0,6.0,0.0,0.0,1.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,16.0,19.0,55.0,19.0,2.0,1.0,0.0,27.0,79.0,36.0,0.0,0.0,0.0,14.0,58.0,35.0,0.0,49.0,0.0,28.0,62.0,0.0,1.0,30.0,2.0,13.0,0.0,40.0,3.0,7.0,7.0,71.0,30.0,199.0,0.0,0.0,19.0,0.0,35.0,19.0,4.0,81.0,20.0,19.0,0.0,0.0,124.0,0.0,0.0,0.0,74.0,0.0,61.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24.0,21.0,25.0,17.0,14.0,7.0,19.0,14.0,24.0,15.0,29.0,54.0,12.0,32.0,36.0,10.0,47.0,3.0,13.0,52.0,29.0,71.0,0.0,0.0,74.0,158.0,50.0,10.0,29.0,29.0,3.0,100.0,14.0,55.0,0.0,0.0,190.0,0.0,1.0,28.0,229.0,215.0,48.0,0.0,14.0,12.0,15.0,0.0,0.0,4.0,9.0,0.0,11.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
40,6.0,3.0,3.0,41.0,5.0,14.0,11.0,7.0,4.0,0.0,18.0,37.0,29.0,4.0,53.0,23.0,108.0,105.0,0.0,0.0,11.0,22.0,0.0,1.0,0.0,2.0,31.0,105.0,46.0,50.0,0.0,60.0,109.0,27.0,263.0,7.0,34.0,0.0,58.0,82.0,0.0,30.0,95.0,22.0,42.0,10.0,0.0,2.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,53.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4.0,8.0,0.0,5.0,49.0,4.0,17.0,0.0,1.0,15.0,104.0,31.0,0.0,23.0,0.0,34.0,16.0,12.0,0.0,0.0,1.0,44.0,0.0,177.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,77.0,68.0,36.0,230.0,1.0,0.0,21.0,45.0,0.0,0.0,50.0,6.0,69.0,6.0,0.0,97.0,0.0,51.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,20.0,24.0,0.0,43.0,0.0,17.0,5.0,12.0,12.0,0.0,8.0,1.0,20.0,0.0,0.0,0.0,6.0,21.0,1.0,1.0,9.0,5.0,8.0,4.0,55.0,38.0,17.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5.0,12.0,12.0,18.0,19.0,65.0,15.0,16.0,3.0,18.0,9.0,21.0,12.0,76.0,11.0,3.0,0.0,0.0,42.0,0.0,0.0,81.0,59.0,25.0,0.0,0.0,7.0,92.0,37.0,59.0,21.0,26.0,0.0,68.0,118.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
