,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,9.0,70.0,4.0,16.0,39.0,48.0,23.0,17.0,41.0,41.0,0.0,0.0,6.0,0.0,53.0,0.0,24.0,31.0,0.0,16.0,11.0,92.0,15.0,61.0,0.0,15.0,23.0,17.0,3.0,91.0,0.0,23.0,10.0,4.0,2.0,11.0,2.0,0.0,0.0,0.0,24.0,0.0,1.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24.0,20.0,0.0,12.0,37.0,71.0,0.0,22.0,0.0,22.0,53.0,18.0,22.0,24.0,41.0,21.0,111.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,27.0,0.0,0.0,70.0,0.0,111.0,52.0,95.0,0.0,5.0,58.0,34.0,25.0,5.0,27.0,0.0,47.0,58.0,0.0,0.0,63.0,0.0,26.0,7.0,217.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,63.0,3.0,18.0,16.0,16.0,15.0,7.0,13.0,56.0,22.0,19.0,19.0,21.0,42.0,0.0,0.0,17.0,37.0,0.0,128.0,101.0,15.0,172.0,12.0,24.0,0.0,68.0,0.0,42.0,2.0,7.0,123.0,9.0,19.0,0.0,42.0,0.0,96.0,1.0,25.0,0.0,17.0,0.0,0.0,18.0,12.0,26.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,11.0,13.0,10.0,19.0,23.0,19.0,0.0,3.0,4.0,25.0,24.0,0.0,45.0,55.0,7.0,3.0,83.0,3.0,0.0,71.0,0.0,33.0,5.0,11.0,0.0,26.0,0.0,14.0,0.0,15.0,0.0,157.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13.0,15.0,14.0,26.0,53.0,16.0,0.0,11.0,6.0,45.0,20.0,35.0,91.0,64.0,81.0,34.0,18.0,29.0,69.0,635.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23.0,9.0,11.0,34.0,17.0,22.0,19.0,0.0,0.0,6.0,28.0,43.0,0.0,30.0,17.0,56.0,59.0,3.0,3.0,16.0,0.0,36.0,55.0,11.0,64.0,12.0,19.0,15.0,0.0,17.0,17.0,0.0,130.0,0.0,0.0,0.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,58.0,13.0,27.0,46.0,20.0,56.0,86.0,0.0,86.0,21.0,1.0,217.0,73.0,33.0,69.0,28.0,34.0,0.0,40.0,11.0,126.0,48.0,98.0,41.0,0.0,12.0,15.0,2.0,12.0,4.0,343.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,26.0,6.0,10.0,38.0,80.0,16.0,4.0,24.0,7.0,5.0,10.0,12.0,14.0,14.0,0.0,19.0,32.0,43.0,0.0,0.0,7.0,22.0,52.0,3.0,8.0,0.0,2.0,12.0,22.0,47.0,11.0,34.0,14.0,17.0,4.0,124.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,3.0,1.0,28.0,23.0,19.0,0.0,7.0,1.0,15.0,11.0,2.0,9.0,8.0,12.0,5.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,32.0,0.0,9.0,6.0,5.0,17.0,0.0,38.0,6.0,0.0,59.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12.0,7.0,16.0,2.0,29.0,1.0,0.0,4.0,0.0,112.0,30.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,32.0,25.0,64.0,7.0,47.0,14.0,0.0,52.0,29.0,6.0,14.0,92.0,36.0,0.0,55.0,61.0,0.0,0.0,39.0,88.0,12.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,127.0,250.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
10,35.0,12.0,23.0,14.0,0.0,18.0,4.0,45.0,3.0,6.0,8.0,8.0,21.0,5.0,26.0,13.0,4.0,9.0,26.0,18.0,3.0,16.0,15.0,77.0,68.0,21.0,3.0,20.0,16.0,0.0,87.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18.0,8.0,27.0,6.0,26.0,51.0,22.0,0.0,0.0,52.0,43.0,8.0,22.0,0.0,4.0,1.0,24.0,0.0,0.0,71.0,40.0,0.0,102.0,16.0,122.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,36.0,17.0,23.0,14.0,0.0,0.0,22.0,1.0,0.0,8.0,35.0,100.0,72.0,185.0,0.0,91.0,0.0,13.0,0.0,16.0,174.0,49.0,72.0,0.0,10.0,0.0,13.0,0.0,70.0,0.0,147.0,37.0,152.0,0.0,0.0,14.0,1.0,14.0,0.0,29.0,0.0,14.0,2.0,7.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17.0,6.0,12.0,4.0,6.0,17.0,8.0,8.0,3.0,10.0,0.0,7.0,11.0,0.0,5.0,25.0,0.0,9.0,0.0,9.0,2.0,17.0,0.0,12.0,0.0,0.0,17.0,34.0,11.0,17.0,0.0,21.0,0.0,14.0,0.0,17.0,0.0,83.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,27.0,33.0,13.0,22.0,7.0,5.0,34.0,22.0,16.0,0.0,0.0,22.0,35.0,28.0,28.0,17.0,62.0,43.0,65.0,0.0,5.0,0.0,23.0,0.0,74.0,0.0,27.0,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12.0,22.0,18.0,35.0,12.0,51.0,30.0,22.0,16.0,70.0,2.0,39.0,24.0,71.0,2.0,3.0,18.0,49.0,11.0,61.0,11.0,0.0,13.0,30.0,35.0,19.0,38.0,10.0,12.0,49.0,4.0,58.0,10.0,137.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7.0,15.0,50.0,16.0,36.0,51.0,28.0,52.0,1.0,24.0,64.0,26.0,12.0,37.0,158.0,82.0,17.0,51.0,57.0,105.0,0.0,90.0,109.0,57.0,190.0,23.0,267.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27.0,10.0,0.0,6.0,20.0,7.0,7.0,19.0,0.0,0.0,16.0,3.0,40.0,3.0,9.0,12.0,0.0,3.0,8.0,33.0,5.0,9.0,0.0,0.0,43.0,44.0,27.0,124.0,2.0,27.0,0.0,0.0,181.0,6.0,46.0,0.0,12.0,385.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,19.0,25.0,26.0,4.0,0.0,15.0,21.0,21.0,9.0,0.0,17.0,0.0,64.0,16.0,2.0,15.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,36.0,10.0,9.0,13.0,17.0,12.0,6.0,13.0,36.0,8.0,6.0,46.0,18.0,12.0,25.0,11.0,0.0,10.0,31.0,12.0,9.0,5.0,43.0,7.0,55.0,20.0,28.0,61.0,8.0,0.0,17.0,0.0,38.0,54.0,21.0,0.0,0.0,72.0,71.0,9.0,34.0,104.0,37.0,15.0,41.0,63.0,29.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15.0,19.0,0.0,28.0,1.0,2.0,0.0,0.0,9.0,3.0,81.0,0.0,0.0,0.0,34.0,4.0,26.0,37.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,33.0,0.0,28.0,17.0,0.0,12.0,12.0,21.0,0.0,45.0,0.0,9.0,0.0,26.0,0.0,17.0,0.0,4.0,34.0,0.0,36.0,32.0,18.0,80.0,4.0,18.0,0.0,39.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,19.0,10.0,0.0,32.0,5.0,14.0,47.0,46.0,56.0,28.0,0.0,12.0,50.0,18.0,9.0,0.0,11.0,0.0,0.0,15.0,0.0,4.0,11.0,5.0,0.0,0.0,22.0,9.0,24.0,9.0,19.0,17.0,0.0,20.0,0.0,19.0,100.0,117.0,0.0,1.0,109.0,0.0,0.0,189.0,52.0,0.0,7.0,22.0,29.0,0.0,44.0,13.0,0.0,0.0,0.0,34.0,29.0,12.0,0.0,67.0,158.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,677.0,0.0,0.0,5.0,0.0,0.0,3.0,37.0,0.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
24,9.0,15.0,10.0,0.0,32.0,36.0,11.0,7.0,61.0,13.0,49.0,0.0,49.0,40.0,39.0,13.0,69.0,0.0,0.0,10.0,29.0,0.0,0.0,1.0,154.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,33.0,19.0,21.0,21.0,5.0,0.0,11.0,12.0,0.0,0.0,49.0,21.0,65.0,49.0,24.0,36.0,59.0,26.0,50.0,43.0,6.0,0.0,7.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,34.0,11.0,21.0,8.0,28.0,63.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,14.0,14.0,34.0,18.0,36.0,19.0,50.0,24.0,27.0,0.0,18.0,12.0,9.0,31.0,0.0,0.0,42.0,29.0,4.0,16.0,49.0,3.0,50.0,18.0,0.0,1.0,0.0,1.0,57.0,24.0,54.0,18.0,265.0,0.0,66.0,0.0,0.0,21.0,0.0,0.0,7.0,0.0,0.0,84.0,37.0,82.0,0.0,0.0,0.0,200.0,0.0,0.0,205.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,43.0,5.0,26.0,36.0,11.0,5.0,12.0,17.0,29.0,56.0,56.0,35.0,0.0,50.0,47.0,95.0,4.0,3.0,2.0,0.0,36.0,17.0,37.0,8.0,38.0,0.0,25.0,91.0,18.0,49.0,148.0,66.0,241.0,13.0,322.0,137.0,217.0,0.0,0.0,3.0,16.0,0.0,4.0,0.0,193.0,0.0,7.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,35.0,2.0,28.0,5.0,44.0,50.0,135.0,6.0,29.0,0.0,24.0,0.0,9.0,25.0,158.0,167.0,4.0,152.0,0.0,254.0,25.0,3.0,163.0,0.0,0.0,0.0,0.0,37.0,0.0,89.0,0.0,23.0,64.0,0.0,138.0,8.0,258.0,0.0,100.0,0.0,0.0,191.0,120.0,0.0,356.0,13.0,62.0,97.0,173.0,38.0,131.0,276.0,0.0,31.0,702.0,34.0,7.0,776.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,18.0,0.0,0.0,16.0,21.0,7.0,2.0,19.0,0.0,121.0,7.0,99.0,93.0,18.0,39.0,20.0,0.0,0.0,7.0,10.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,11.0,4.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,18.0,12.0,8.0,28.0,0.0,18.0,36.0,2.0,11.0,16.0,18.0,33.0,21.0,99.0,0.0,14.0,2.0,31.0,32.0,0.0,7.0,0.0,35.0,55.0,8.0,55.0,22.0,148.0,0.0,20.0,16.0,0.0,0.0,0.0,123.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,12.0,18.0,28.0,48.0,31.0,31.0,55.0,0.0,27.0,88.0,62.0,20.0,0.0,7.0,0.0,30.0,61.0,26.0,12.0,13.0,11.0,15.0,64.0,66.0,17.0,97.0,28.0,0.0,18.0,0.0,29.0,11.0,98.0,112.0,3.0,813.0,369.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,1.0,97.0,0.0,9.0,296.0,0.0,0.0,0.0,88.0,293.0,0.0,285.0,0.0,167.0,87.0,0.0,115.0,249.0,277.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10.0,43.0,11.0,13.0,5.0,0.0,8.0,9.0,4.0,5.0,36.0,17.0,16.0,123.0,1.0,102.0,0.0,20.0,16.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,21.0,6.0,21.0,0.0,0.0,5.0,0.0,12.0,10.0,21.0,17.0,16.0,11.0,0.0,1.0,0.0,13.0,34.0,20.0,112.0,3.0,0.0,0.0,0.0,10.0,10.0,0.0,13.0,4.0,0.0,0.0,5.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9.0,22.0,10.0,47.0,67.0,37.0,4.0,8.0,26.0,21.0,10.0,47.0,18.0,8.0,65.0,25.0,0.0,0.0,34.0,63.0,6.0,29.0,0.0,47.0,27.0,5.0,0.0,12.0,2.0,4.0,42.0,10.0,0.0,37.0,8.0,7.0,32.0,17.0,0.0,6.0,40.0,5.0,7.0,13.0,8.0,16.0,10.0,6.0,26.0,0.0,43.0,17.0,11.0,126.0,22.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8.0,14.0,8.0,18.0,4.0,5.0,24.0,15.0,43.0,7.0,15.0,11.0,9.0,28.0,24.0,16.0,0.0,14.0,32.0,5.0,10.0,0.0,6.0,5.0,41.0,0.0,1.0,0.0,17.0,1.0,71.0,8.0,1.0,48.0,0.0,0.0,0.0,0.0,2.0,14.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,4.0,7.0,16.0,19.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8.0,8.0,20.0,20.0,0.0,0.0,54.0,2.0,39.0,1.0,4.0,9.0,10.0,30.0,118.0,46.0,0.0,53.0,24.0,0.0,56.0,22.0,66.0,0.0,0.0,90.0,16.0,0.0,12.0,4.0,66.0,0.0,0.0,0.0,0.0,3.0,65.0,0.0,0.0,0.0,16.0,34.0,17.0,19.0,0.0,7.0,84.0,7.0,91.0,0.0,64.0,11.0,0.0,59.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6.0,30.0,11.0,13.0,18.0,2.0,3.0,6.0,18.0,13.0,0.0,0.0,36.0,51.0,45.0,35.0,4.0,0.0,28.0,0.0,0.0,39.0,5.0,51.0,13.0,0.0,0.0,8.0,17.0,47.0,0.0,10.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7.0,0.0,18.0,8.0,2.0,20.0,19.0,0.0,0.0,4.0,6.0,6.0,0.0,19.0,32.0,0.0,10.0,2.0,23.0,0.0,0.0,0.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8.0,13.0,0.0,7.0,0.0,93.0,0.0,0.0,9.0,66.0,6.0,9.0,0.0,4.0,0.0,23.0,68.0,56.0,55.0,35.0,94.0,23.0,0.0,30.0,0.0,27.0,9.0,20.0,85.0,0.0,57.0,11.0,141.0,7.0,14.0,0.0,1.0,0.0,18.0,0.0,11.0,0.0,14.0,36.0,184.0,3.0,29.0,0.0,0.0,113.0,196.0,155.0,177.0,46.0,152.0,95.0,113.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,53.0,0.0,18.0,20.0,21.0,31.0,32.0,4.0,2.0,0.0,0.0,17.0,67.0,34.0,33.0,26.0,9.0,13.0,8.0,6.0,56.0,9.0,12.0,11.0,18.0,7.0,19.0,32.0,31.0,21.0,22.0,76.0,22.0,1.0,0.0,0.0,25.0,124.0,87.0,653.0,1.0,15.0,135.0,0.0,135.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4.0,5.0,6.0,14.0,19.0,4.0,4.0,0.0,86.0,0.0,51.0,11.0,37.0,0.0,306.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,24.0,2.0,23.0,16.0,24.0,5.0,63.0,5.0,6.0,0.0,18.0,8.0,75.0,48.0,0.0,87.0,37.0,10.0,18.0,15.0,4.0,0.0,35.0,10.0,14.0,11.0,0.0,0.0,4.0,10.0,0.0,1.0,13.0,72.0,19.0,5.0,70.0,0.0,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4.0,22.0,36.0,0.0,0.0,12.0,31.0,33.0,47.0,0.0,36.0,14.0,29.0,0.0,13.0,6.0,20.0,47.0,8.0,0.0,15.0,22.0,2.0,28.0,49.0,7.0,24.0,0.0,58.0,24.0,18.0,31.0,18.0,55.0,140.0,22.0,35.0,47.0,45.0,0.0,89.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,137.0,0.0,6.0,0.0,14.0,393.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,16.0,8.0,33.0,15.0,0.0,10.0,28.0,0.0,30.0,1.0,16.0,37.0,62.0,6.0,10.0,2.0,5.0,1.0,20.0,37.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5.0,18.0,13.0,12.0,0.0,32.0,26.0,0.0,0.0,30.0,19.0,0.0,5.0,15.0,4.0,0.0,14.0,0.0,29.0,0.0,0.0,21.0,10.0,1.0,6.0,69.0,27.0,29.0,40.0,1.0,0.0,17.0,16.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,14.0,44.0,0.0,25.0,22.0,9.0,4.0,1.0,4.0,0.0,15.0,11.0,49.0,51.0,17.0,45.0,41.0,35.0,0.0,0.0,12.0,57.0,2.0,15.0,4.0,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14.0,17.0,22.0,16.0,13.0,2.0,0.0,2.0,0.0,34.0,12.0,16.0,17.0,21.0,15.0,0.0,34.0,10.0,11.0,30.0,13.0,73.0,27.0,32.0,36.0,53.0,0.0,0.0,145.0,25.0,75.0,0.0,19.0,24.0,33.0,0.0,25.0,82.0,101.0,73.0,0.0,20.0,99.0,62.0,32.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,137.0,6.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,25.0,0.0,14.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
48,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,40.0,6.0,9.0,32.0,18.0,21.0,34.0,5.0,50.0,10.0,15.0,41.0,7.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11.0,26.0,13.0,10.0,18.0,0.0,16.0,10.0,2.0,6.0,3.0,18.0,12.0,4.0,44.0,7.0,23.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7.0,45.0,0.0,24.0,6.0,17.0,6.0,6.0,25.0,7.0,0.0,13.0,43.0,16.0,30.0,0.0,17.0,1.0,26.0,26.0,0.0,0.0,0.0,1.0,8.0,0.0,83.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,18.0,26.0,35.0,10.0,10.0,0.0,54.0,47.0,59.0,0.0,50.0,3.0,44.0,0.0,0.0,3.0,2.0,3.0,0.0,18.0,24.0,0.0,0.0,0.0,23.0,45.0,47.0,0.0,18.0,43.0,0.0,0.0,438.0,416.0,63.0,275.0,10.0,31.0,186.0,64.0,0.0,12.0,0.0,26.0,98.0,0.0,172.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9.0,9.0,13.0,11.0,15.0,0.0,0.0,2.0,0.0,8.0,0.0,27.0,7.0,9.0,31.0,13.0,62.0,29.0,7.0,4.0,14.0,31.0,0.0,18.0,17.0,85.0,0.0,64.0,128.0,0.0,76.0,221.0,6.0,41.0,9.0,4.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
