,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,6.0,0.0,21.0,5.0,5.0,16.0,11.0,1.0,3.0,8.0,10.0,0.0,0.0,70.0,56.0,43.0,0.0,0.0,0.0,42.0,0.0,78.0,24.0,46.0,0.0,8.0,23.0,24.0,15.0,0.0,45.0,14.0,7.0,0.0,55.0,0.0,28.0,28.0,0.0,0.0,4.0,0.0,159.0,22.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,2.0,0.0,96.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.0,38.0,13.0,24.0,4.0,22.0,1.0,0.0,7.0,24.0,0.0,0.0,8.0,30.0,0.0,10.0,34.0,0.0,21.0,10.0,9.0,24.0,93.0,0.0,11.0,17.0,42.0,13.0,6.0,1.0,1.0,12.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29.0,0.0,44.0,0.0,23.0,25.0,8.0,0.0,22.0,5.0,40.0,22.0,18.0,71.0,17.0,87.0,78.0,14.0,23.0,0.0,32.0,77.0,10.0,0.0,194.0,0.0,0.0,16.0,4.0,14.0,10.0,2.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12.0,30.0,5.0,2.0,13.0,10.0,12.0,28.0,0.0,12.0,13.0,0.0,0.0,7.0,47.0,22.0,17.0,0.0,4.0,10.0,39.0,28.0,0.0,90.0,0.0,4.0,125.0,95.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,21.0,18.0,10.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,17.0,11.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,7.0,6.0,2.0,0.0,5.0,1.0,15.0,2.0,11.0,9.0,6.0,0.0,0.0,27.0,28.0,22.0,0.0,4.0,3.0,1.0,38.0,74.0,40.0,27.0,31.0,0.0,0.0,15.0,3.0,10.0,25.0,0.0,112.0,0.0,0.0,12.0,0.0,106.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,16.0,17.0,16.0,19.0,0.0,29.0,0.0,16.0,41.0,14.0,5.0,9.0,11.0,20.0,14.0,19.0,8.0,15.0,18.0,0.0,13.0,0.0,5.0,11.0,23.0,0.0,12.0,28.0,12.0,189.0,277.0,30.0,34.0,0.0,0.0,30.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11.0,6.0,22.0,22.0,10.0,12.0,16.0,35.0,0.0,41.0,0.0,25.0,8.0,10.0,0.0,11.0,0.0,46.0,21.0,82.0,3.0,55.0,48.0,14.0,19.0,51.0,47.0,0.0,11.0,0.0,0.0,0.0,121.0,0.0,40.0,203.0,128.0,36.0,43.0,309.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22.0,6.0,6.0,0.0,21.0,3.0,22.0,10.0,4.0,5.0,2.0,9.0,21.0,9.0,0.0,0.0,15.0,85.0,58.0,0.0,0.0,4.0,2.0,47.0,26.0,39.0,0.0,21.0,77.0,42.0,6.0,141.0,150.0,38.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,28.0,0.0,14.0,12.0,0.0,18.0,22.0,19.0,26.0,0.0,1.0,8.0,30.0,20.0,0.0,12.0,0.0,42.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21.0,6.0,0.0,6.0,23.0,12.0,15.0,23.0,33.0,17.0,4.0,0.0,0.0,2.0,3.0,39.0,4.0,14.0,45.0,28.0,39.0,42.0,20.0,2.0,12.0,18.0,32.0,30.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,28.0,17.0,1.0,11.0,4.0,47.0,9.0,16.0,9.0,8.0,17.0,8.0,3.0,49.0,23.0,5.0,0.0,4.0,0.0,0.0,18.0,25.0,0.0,5.0,54.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5.0,37.0,11.0,22.0,9.0,0.0,0.0,0.0,16.0,17.0,0.0,31.0,0.0,28.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.0,19.0,6.0,22.0,23.0,9.0,0.0,5.0,29.0,11.0,21.0,19.0,18.0,26.0,13.0,0.0,12.0,1.0,60.0,0.0,38.0,0.0,30.0,18.0,3.0,0.0,58.0,13.0,105.0,17.0,51.0,17.0,64.0,0.0,41.0,0.0,0.0,292.0,80.0,34.0,0.0,1.0,0.0,0.0,0.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,20.0,27.0,15.0,17.0,0.0,38.0,3.0,16.0,13.0,27.0,7.0,0.0,48.0,4.0,16.0,0.0,6.0,12.0,0.0,10.0,53.0,25.0,10.0,81.0,5.0,26.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,53.0,38.0,19.0,0.0,14.0,3.0,21.0,0.0,3.0,0.0,42.0,32.0,43.0,0.0,16.0,3.0,1.0,0.0,32.0,12.0,14.0,9.0,0.0,9.0,10.0,3.0,1.0,4.0,6.0,0.0,9.0,1.0,10.0,19.0,37.0,0.0,4.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,19.0,7.0,7.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20.0,23.0,4.0,2.0,0.0,0.0,10.0,4.0,26.0,4.0,0.0,23.0,10.0,0.0,8.0,34.0,0.0,0.0,65.0,212.0,120.0,254.0,34.0,43.0,0.0,58.0,21.0,0.0,33.0,0.0,67.0,32.0,14.0,23.0,5.0,42.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20.0,10.0,0.0,10.0,0.0,0.0,17.0,7.0,33.0,0.0,0.0,37.0,19.0,48.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,73.0,68.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,22.0,0.0,0.0,48.0,20.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16.0,7.0,7.0,8.0,12.0,0.0,9.0,31.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8.0,12.0,0.0,4.0,1.0,14.0,0.0,18.0,8.0,3.0,33.0,14.0,17.0,59.0,53.0,9.0,12.0,11.0,29.0,7.0,1.0,11.0,21.0,20.0,24.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,31.0,15.0,16.0,24.0,0.0,0.0,25.0,14.0,33.0,24.0,8.0,0.0,9.0,15.0,0.0,16.0,8.0,7.0,45.0,7.0,8.0,0.0,17.0,0.0,0.0,71.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30.0,19.0,34.0,21.0,12.0,26.0,6.0,16.0,13.0,14.0,59.0,12.0,1.0,60.0,0.0,0.0,51.0,121.0,0.0,15.0,33.0,84.0,0.0,5.0,171.0,18.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,27.0,19.0,4.0,7.0,19.0,12.0,14.0,11.0,20.0,18.0,6.0,1.0,16.0,14.0,1.0,0.0,1.0,0.0,13.0,0.0,9.0,37.0,4.0,8.0,19.0,0.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25.0,11.0,0.0,6.0,6.0,2.0,1.0,26.0,7.0,0.0,5.0,0.0,0.0,13.0,0.0,26.0,4.0,4.0,18.0,0.0,11.0,0.0,9.0,0.0,0.0,23.0,0.0,3.0,0.0,16.0,0.0,20.0,7.0,7.0,0.0,17.0,0.0,0.0,0.0,17.0,12.0,10.0,34.0,21.0,5.0,37.0,39.0,0.0,27.0,11.0,7.0,6.0,35.0,91.0,16.0,10.0,30.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15.0,22.0,34.0,4.0,7.0,15.0,3.0,29.0,2.0,43.0,23.0,69.0,116.0,24.0,0.0,22.0,17.0,14.0,35.0,24.0,92.0,9.0,0.0,0.0,7.0,21.0,0.0,8.0,23.0,9.0,2.0,2.0,9.0,2.0,6.0,32.0,12.0,0.0,1.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,29.0,14.0,4.0,0.0,27.0,6.0,18.0,12.0,11.0,16.0,0.0,4.0,0.0,0.0,9.0,13.0,210.0,37.0,23.0,22.0,25.0,42.0,11.0,96.0,55.0,0.0,26.0,18.0,22.0,22.0,90.0,79.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8.0,15.0,8.0,12.0,21.0,4.0,11.0,0.0,1.0,0.0,23.0,8.0,0.0,4.0,22.0,0.0,0.0,0.0,162.0,3.0,10.0,2.0,25.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5.0,11.0,0.0,9.0,4.0,1.0,11.0,10.0,5.0,11.0,16.0,19.0,12.0,17.0,6.0,4.0,13.0,13.0,13.0,70.0,14.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18.0,9.0,8.0,22.0,6.0,1.0,12.0,6.0,3.0,0.0,0.0,16.0,0.0,0.0,1.0,10.0,16.0,35.0,0.0,0.0,9.0,11.0,4.0,0.0,29.0,9.0,2.0,7.0,7.0,9.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4.0,0.0,10.0,29.0,10.0,1.0,0.0,39.0,4.0,17.0,25.0,0.0,20.0,0.0,46.0,22.0,16.0,66.0,0.0,58.0,16.0,0.0,3.0,0.0,16.0,24.0,28.0,0.0,0.0,9.0,42.0,0.0,13.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,39.0,0.0,15.0,17.0,26.0,62.0,21.0,38.0,2.0,45.0,0.0,0.0,10.0,1.0,4.0,5.0,16.0,7.0,12.0,58.0,6.0,0.0,17.0,21.0,0.0,8.0,0.0,10.0,4.0,0.0,13.0,22.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,5.0,23.0,4.0,0.0,0.0,8.0,9.0,10.0,28.0,0.0,0.0,20.0,1.0,4.0,0.0,13.0,0.0,23.0,0.0,0.0,23.0,12.0,1.0,0.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,34.0,0.0,13.0,13.0,8.0,0.0,10.0,35.0,15.0,0.0,21.0,4.0,13.0,4.0,46.0,44.0,2.0,44.0,0.0,29.0,17.0,34.0,33.0,3.0,7.0,42.0,33.0,1.0,4.0,58.0,0.0,4.0,38.0,0.0,5.0,4.0,126.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,24.0,308.0,5.0,0.0,0.0,16.0,52.0,15.0,20.0,37.0,0.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13.0,0.0,0.0,8.0,8.0,12.0,15.0,33.0,10.0,45.0,20.0,0.0,11.0,127.0,50.0,63.0,41.0,153.0,0.0,0.0,5.0,0.0,100.0,278.0,33.0,0.0,4.0,23.0,129.0,66.0,7.0,190.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,29.0,12.0,3.0,63.0,0.0,0.0,23.0,2.0,0.0,5.0,4.0,1.0,2.0,2.0,12.0,0.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,25.0,2.0,10.0,36.0,4.0,0.0,0.0,25.0,18.0,16.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,8.0,0.0,0.0,5.0,10.0,20.0,5.0,9.0,6.0,13.0,61.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11.0,1.0,0.0,23.0,28.0,12.0,0.0,26.0,3.0,6.0,2.0,0.0,34.0,0.0,15.0,25.0,10.0,3.0,8.0,21.0,80.0,0.0,0.0,9.0,17.0,0.0,0.0,19.0,24.0,0.0,0.0,0.0,6.0,5.0,0.0,21.0,9.0,0.0,24.0,0.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,17.0,15.0,5.0,14.0,0.0,4.0,0.0,27.0,1.0,19.0,56.0,34.0,24.0,70.0,0.0,0.0,7.0,0.0,12.0,9.0,29.0,0.0,12.0,81.0,30.0,83.0,27.0,11.0,6.0,0.0,0.0,0.0,0.0,38.0,25.0,17.0,0.0,2.0,10.0,1.0,4.0,1.0,1.0,4.0,2.0,21.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,2.0,3.0,0.0,27.0,0.0,22.0,17.0,26.0,19.0,39.0,12.0,0.0,17.0,11.0,9.0,11.0,0.0,0.0,2.0,42.0,7.0,11.0,0.0,1.0,3.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,6.0,10.0,8.0,9.0,0.0,0.0,12.0,20.0,23.0,22.0,0.0,6.0,0.0,24.0,0.0,6.0,0.0,6.0,0.0,29.0,8.0,23.0,9.0,4.0,3.0,8.0,6.0,0.0,2.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
