,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,8.0,1.0,0.0,2.0,3.0,14.0,44.0,9.0,100.0,48.0,32.0,25.0,8.0,10.0,19.0,0.0,0.0,8.0,31.0,32.0,15.0,18.0,8.0,0.0,0.0,18.0,15.0,4.0,18.0,0.0,12.0,19.0,0.0,0.0,0.0,14.0,38.0,60.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.0,24.0,8.0,35.0,4.0,5.0,19.0,25.0,9.0,10.0,79.0,25.0,22.0,9.0,19.0,31.0,17.0,0.0,135.0,48.0,23.0,0.0,6.0,37.0,0.0,0.0,55.0,0.0,0.0,0.0,8.0,32.0,3.0,82.0,278.0,22.0,82.0,10.0,0.0,0.0,59.0,41.0,10.0,0.0,0.0,31.0,21.0,41.0,18.0,20.0,0.0,21.0,15.0,146.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30.0,11.0,0.0,21.0,25.0,37.0,8.0,20.0,41.0,3.0,7.0,2.0,19.0,20.0,15.0,9.0,8.0,0.0,0.0,0.0,24.0,0.0,86.0,78.0,14.0,2.0,84.0,0.0,36.0,9.0,18.0,4.0,15.0,26.0,0.0,11.0,77.0,16.0,0.0,41.0,88.0,208.0,31.0,32.0,29.0,0.0,49.0,20.0,45.0,0.0,19.0,35.0,13.0,101.0,0.0,0.0,440.0,0.0,81.0,3.0,16.0,22.0,29.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48.0,44.0,0.0,18.0,0.0,2.0,9.0,0.0,32.0,14.0,3.0,0.0,23.0,77.0,12.0,0.0,4.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,157.0,33.0,59.0,0.0,17.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26.0,3.0,59.0,0.0,19.0,19.0,7.0,29.0,0.0,55.0,12.0,227.0,92.0,38.0,22.0,15.0,8.0,39.0,57.0,153.0,216.0,922.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,17.0,20.0,1.0,0.0,6.0,1.0,0.0,0.0,3.0,5.0,11.0,16.0,18.0,22.0,17.0,54.0,3.0,49.0,16.0,110.0,118.0,0.0,0.0,10.0,1.0,8.0,71.0,28.0,70.0,0.0,124.0,101.0,0.0,58.0,0.0,0.0,0.0,13.0,380.0,255.0,31.0,160.0,0.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24.0,26.0,0.0,0.0,7.0,124.0,23.0,45.0,18.0,107.0,23.0,7.0,0.0,83.0,37.0,0.0,21.0,106.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.0,17.0,24.0,0.0,23.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14.0,23.0,29.0,2.0,6.0,14.0,20.0,26.0,67.0,12.0,1.0,23.0,0.0,18.0,0.0,25.0,6.0,0.0,0.0,2.0,7.0,10.0,9.0,85.0,0.0,153.0,24.0,16.0,81.0,30.0,179.0,26.0,20.0,9.0,93.0,2.0,47.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,36.0,12.0,50.0,25.0,7.0,15.0,17.0,34.0,21.0,0.0,21.0,0.0,12.0,0.0,35.0,14.0,21.0,19.0,5.0,9.0,162.0,124.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,32.0,24.0,37.0,0.0,20.0,15.0,6.0,5.0,44.0,34.0,3.0,61.0,16.0,0.0,16.0,0.0,38.0,62.0,0.0,58.0,4.0,5.0,28.0,0.0,0.0,19.0,0.0,0.0,113.0,0.0,33.0,8.0,5.0,5.0,0.0,0.0,2.0,0.0,12.0,0.0,5.0,12.0,0.0,7.0,10.0,0.0,0.0,2.0,0.0,9.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,3.0,3.0,0.0,0.0,18.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
11,0.0,3.0,14.0,19.0,27.0,24.0,35.0,14.0,16.0,31.0,9.0,21.0,12.0,1.0,6.0,4.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,7.0,118.0,16.0,0.0,38.0,131.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,37.0,24.0,0.0,83.0,36.0,12.0,30.0,32.0,0.0,25.0,37.0,0.0,13.0,57.0,0.0,3.0,3.0,0.0,28.0,0.0,63.0,27.0,0.0,34.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,0.0,51.0,49.0,0.0,11.0,0.0,15.0,0.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26.0,14.0,3.0,46.0,7.0,21.0,8.0,0.0,0.0,35.0,13.0,0.0,0.0,101.0,53.0,47.0,0.0,24.0,25.0,15.0,2.0,0.0,0.0,0.0,14.0,0.0,41.0,26.0,169.0,14.0,0.0,36.0,4.0,64.0,0.0,0.0,140.0,0.0,0.0,47.0,12.0,0.0,21.0,0.0,19.0,15.0,0.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37.0,7.0,10.0,14.0,20.0,0.0,16.0,44.0,45.0,55.0,8.0,0.0,33.0,45.0,21.0,0.0,56.0,30.0,20.0,40.0,0.0,9.0,17.0,24.0,28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24.0,14.0,0.0,31.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,33.0,3.0,11.0,27.0,29.0,7.0,45.0,6.0,40.0,14.0,5.0,38.0,0.0,116.0,14.0,0.0,0.0,23.0,9.0,0.0,11.0,112.0,0.0,128.0,82.0,15.0,0.0,1.0,1.0,4.0,19.0,0.0,38.0,40.0,21.0,0.0,45.0,0.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6.0,5.0,6.0,10.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6.0,22.0,0.0,9.0,14.0,0.0,13.0,0.0,17.0,3.0,33.0,0.0,4.0,0.0,0.0,16.0,83.0,6.0,9.0,0.0,5.0,9.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,23.0,16.0,9.0,2.0,60.0,0.0,11.0,3.0,19.0,0.0,8.0,70.0,28.0,0.0,6.0,0.0,53.0,40.0,21.0,0.0,7.0,1.0,32.0,15.0,0.0,82.0,56.0,122.0,0.0,0.0,46.0,6.0,10.0,13.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22.0,22.0,0.0,9.0,6.0,2.0,0.0,77.0,13.0,0.0,11.0,10.0,33.0,33.0,10.0,17.0,25.0,4.0,0.0,9.0,45.0,18.0,12.0,4.0,10.0,10.0,28.0,31.0,0.0,34.0,0.0,6.0,0.0,12.0,0.0,44.0,13.0,0.0,0.0,65.0,437.0,0.0,0.0,56.0,0.0,29.0,16.0,226.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17.0,28.0,11.0,0.0,0.0,27.0,49.0,29.0,9.0,10.0,0.0,18.0,17.0,147.0,25.0,80.0,56.0,11.0,171.0,0.0,1.0,33.0,88.0,0.0,17.0,53.0,99.0,47.0,0.0,23.0,18.0,63.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,15.0,44.0,53.0,23.0,0.0,23.0,20.0,0.0,10.0,38.0,33.0,118.0,64.0,34.0,12.0,18.0,66.0,5.0,109.0,29.0,4.0,11.0,20.0,46.0,0.0,14.0,0.0,28.0,45.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,5.0,14.0,20.0,1.0,11.0,84.0,1.0,37.0,44.0,14.0,56.0,3.0,4.0,4.0,83.0,1.0,21.0,7.0,23.0,11.0,10.0,5.0,12.0,0.0,0.0,3.0,0.0,0.0,74.0,1.0,57.0,21.0,0.0,48.0,104.0,0.0,16.0,0.0,49.0,151.0,12.0,27.0,0.0,0.0,109.0,75.0,43.0,112.0,149.0,0.0,12.0,25.0,11.0,149.0,25.0,129.0,19.0,15.0,10.0,24.0,216.0,46.0,241.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,244.0,715.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
24,10.0,9.0,0.0,8.0,24.0,25.0,10.0,14.0,4.0,5.0,0.0,22.0,9.0,14.0,0.0,0.0,9.0,40.0,0.0,0.0,0.0,44.0,273.0,50.0,0.0,0.0,113.0,0.0,1.0,39.0,10.0,52.0,159.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17.0,28.0,19.0,0.0,64.0,64.0,48.0,11.0,1.0,9.0,129.0,1.0,9.0,0.0,0.0,21.0,27.0,0.0,114.0,38.0,0.0,10.0,110.0,9.0,0.0,163.0,86.0,0.0,76.0,0.0,464.0,1.0,0.0,363.0,2.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7.0,0.0,32.0,10.0,10.0,25.0,40.0,1.0,8.0,0.0,7.0,28.0,21.0,9.0,6.0,0.0,0.0,28.0,32.0,0.0,72.0,52.0,53.0,23.0,0.0,7.0,35.0,24.0,12.0,17.0,64.0,14.0,11.0,22.0,4.0,0.0,10.0,108.0,65.0,0.0,0.0,180.0,10.0,254.0,11.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,88.0,54.0,0.0,0.0,6.0,5.0,0.0,29.0,8.0,0.0,2.0,114.0,76.0,38.0,0.0,0.0,0.0,0.0,25.0,22.0,0.0,0.0,278.0,105.0,99.0,45.0,0.0,250.0,56.0,120.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,770.0,,,,
27,26.0,0.0,70.0,16.0,5.0,13.0,15.0,38.0,0.0,6.0,48.0,6.0,4.0,0.0,56.0,67.0,0.0,6.0,24.0,20.0,10.0,28.0,19.0,8.0,0.0,0.0,7.0,0.0,53.0,51.0,122.0,0.0,71.0,152.0,0.0,100.0,35.0,11.0,23.0,22.0,0.0,63.0,26.0,2.0,1.0,6.0,24.0,40.0,34.0,29.0,5.0,0.0,4.0,313.0,10.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,31.0,12.0,0.0,0.0,24.0,18.0,10.0,16.0,46.0,92.0,85.0,151.0,133.0,31.0,37.0,26.0,82.0,10.0,0.0,71.0,0.0,79.0,209.0,511.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3.0,0.0,21.0,32.0,32.0,14.0,28.0,46.0,0.0,51.0,0.0,36.0,17.0,0.0,0.0,305.0,5.0,76.0,0.0,186.0,14.0,0.0,22.0,22.0,20.0,16.0,0.0,37.0,16.0,150.0,27.0,170.0,0.0,20.0,0.0,65.0,50.0,0.0,0.0,26.0,8.0,5.0,96.0,8.0,37.0,61.0,145.0,226.0,15.0,0.0,118.0,8.0,0.0,16.0,10.0,0.0,392.0,191.0,13.0,6.0,9.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,44.0,0.0,0.0,77.0,0.0,0.0,0.0,,,,,,,,,,,,,
30,33.0,0.0,25.0,0.0,10.0,0.0,1.0,19.0,8.0,8.0,29.0,24.0,4.0,0.0,127.0,30.0,27.0,104.0,0.0,5.0,43.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,28.0,11.0,13.0,12.0,23.0,6.0,18.0,8.0,0.0,53.0,42.0,0.0,12.0,74.0,0.0,69.0,0.0,51.0,13.0,0.0,16.0,0.0,0.0,33.0,143.0,234.0,53.0,10.0,31.0,36.0,0.0,0.0,135.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,25.0,30.0,4.0,24.0,12.0,15.0,16.0,6.0,10.0,6.0,3.0,4.0,51.0,11.0,0.0,101.0,50.0,35.0,6.0,10.0,24.0,0.0,18.0,20.0,18.0,0.0,206.0,293.0,0.0,43.0,27.0,224.0,23.0,0.0,8.0,25.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,98.0,0.0,0.0,179.0,517.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,37.0,16.0,9.0,24.0,15.0,22.0,53.0,36.0,23.0,17.0,5.0,4.0,34.0,140.0,12.0,69.0,22.0,2.0,0.0,6.0,95.0,36.0,0.0,96.0,156.0,0.0,115.0,0.0,0.0,21.0,29.0,72.0,30.0,0.0,21.0,296.0,149.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4.0,29.0,25.0,14.0,3.0,10.0,5.0,0.0,12.0,8.0,17.0,16.0,10.0,9.0,13.0,0.0,4.0,5.0,0.0,67.0,95.0,76.0,8.0,19.0,4.0,20.0,26.0,5.0,3.0,20.0,10.0,3.0,10.0,5.0,147.0,0.0,18.0,18.0,48.0,0.0,295.0,6.0,0.0,0.0,61.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,31.0,15.0,0.0,14.0,22.0,13.0,20.0,0.0,24.0,38.0,4.0,49.0,11.0,24.0,56.0,5.0,11.0,0.0,12.0,0.0,41.0,22.0,6.0,93.0,98.0,0.0,0.0,0.0,0.0,580.0,23.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,72.0,0.0,84.0,194.0,0.0,0.0,188.0,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,17.0,0.0,32.0,15.0,16.0,16.0,14.0,0.0,12.0,48.0,14.0,36.0,17.0,7.0,0.0,64.0,30.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,245.0,0.0,15.0,0.0,0.0,17.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15.0,0.0,16.0,0.0,18.0,40.0,3.0,10.0,0.0,7.0,11.0,31.0,11.0,23.0,0.0,30.0,38.0,8.0,0.0,3.0,46.0,1.0,42.0,11.0,0.0,0.0,20.0,13.0,0.0,17.0,19.0,0.0,0.0,0.0,178.0,40.0,16.0,27.0,0.0,59.0,0.0,11.0,0.0,5.0,125.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8.0,15.0,6.0,2.0,19.0,18.0,117.0,17.0,29.0,68.0,10.0,0.0,14.0,60.0,9.0,1.0,34.0,0.0,33.0,25.0,0.0,190.0,17.0,58.0,35.0,199.0,12.0,61.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5.0,20.0,0.0,0.0,0.0,33.0,19.0,12.0,60.0,0.0,0.0,0.0,33.0,15.0,26.0,0.0,0.0,0.0,46.0,19.0,34.0,62.0,0.0,14.0,15.0,0.0,0.0,73.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,0.0,34.0,0.0,0.0,19.0,10.0,22.0,4.0,8.0,45.0,0.0,9.0,2.0,1.0,1.0,49.0,0.0,72.0,52.0,20.0,23.0,6.0,13.0,0.0,27.0,0.0,3.0,86.0,0.0,63.0,122.0,18.0,127.0,3.0,27.0,20.0,10.0,0.0,0.0,249.0,83.0,122.0,40.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,36.0,0.0,23.0,47.0,0.0,1.0,3.0,13.0,17.0,91.0,0.0,0.0,79.0,0.0,26.0,12.0,16.0,0.0,9.0,0.0,103.0,96.0,0.0,0.0,38.0,27.0,79.0,0.0,15.0,107.0,0.0,60.0,5.0,331.0,47.0,166.0,33.0,0.0,0.0,50.0,454.0,47.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,32.0,0.0,13.0,1.0,16.0,12.0,4.0,26.0,33.0,24.0,10.0,7.0,18.0,4.0,5.0,7.0,11.0,37.0,46.0,54.0,66.0,0.0,0.0,0.0,99.0,31.0,0.0,0.0,29.0,20.0,0.0,31.0,54.0,0.0,6.0,0.0,0.0,74.0,55.0,0.0,0.0,0.0,31.0,196.0,0.0,24.0,10.0,18.0,3.0,3.0,1.0,17.0,5.0,14.0,0.0,0.0,5.0,33.0,0.0,17.0,7.0,0.0,175.0,95.0,28.0,3.0,11.0,32.0,0.0,0.0,0.0,13.0,0.0,7.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,199.0,0.0,5.0,0.0,2.0,0.0,248.0,,,,,,
43,22.0,6.0,10.0,3.0,24.0,14.0,30.0,2.0,27.0,43.0,27.0,12.0,15.0,20.0,36.0,39.0,0.0,25.0,10.0,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17.0,21.0,12.0,1.0,28.0,7.0,9.0,0.0,0.0,4.0,4.0,13.0,27.0,15.0,86.0,0.0,5.0,0.0,23.0,30.0,17.0,15.0,3.0,0.0,25.0,7.0,13.0,0.0,36.0,0.0,0.0,30.0,28.0,214.0,0.0,0.0,0.0,52.0,82.0,54.0,52.0,18.0,30.0,0.0,50.0,48.0,1.0,8.0,0.0,28.0,0.0,0.0,31.0,14.0,0.0,14.0,4.0,10.0,0.0,628.0,116.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10.0,7.0,0.0,20.0,67.0,147.0,81.0,0.0,40.0,29.0,10.0,88.0,242.0,28.0,240.0,0.0,0.0,8.0,12.0,86.0,112.0,18.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,0.0,16.0,16.0,21.0,46.0,8.0,27.0,8.0,0.0,34.0,78.0,25.0,96.0,14.0,225.0,58.0,6.0,30.0,54.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,21.0,13.0,25.0,0.0,29.0,0.0,6.0,8.0,15.0,14.0,97.0,10.0,9.0,12.0,15.0,16.0,0.0,27.0,21.0,6.0,0.0,17.0,49.0,79.0,32.0,87.0,40.0,0.0,28.0,0.0,20.0,0.0,4.0,11.0,5.0,0.0,115.0,14.0,0.0,0.0,86.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,50.0,13.0,0.0,10.0,18.0,0.0,32.0,48.0,21.0,56.0,21.0,49.0,22.0,0.0,55.0,11.0,19.0,21.0,46.0,18.0,0.0,37.0,72.0,0.0,0.0,349.0,2.0,4.0,31.0,23.0,0.0,82.0,18.0,0.0,10.0,75.0,59.0,149.0,0.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11.0,2.0,11.0,6.0,9.0,26.0,8.0,25.0,0.0,9.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
